Country,Responses
United States of America,754
UK,313
Germany,140
Australia,131
Canada,84
New Zealand,63
Norway,41
Switzerland,39
Netherlands,36
France,33
Sweden,27
Czech Republic,20
Denmark,17
Brazil,16
China,16
Spain,15
Israel,14
Austria,13
Ireland,13
Finland,11
India,10
Poland,10
Singapore,9
Italy,8
Russian Federation,8
Belgium,7
Latvia,5
Colombia,4
Estonia,4
Greece,4
Argentina,3
Hungary,3
Japan,3
Philippines,3
Portugal,3
Republic of Korea,3
South Africa,3
Uganda,3
Egypt,2
Lesotho,2
Lithuania,2
Luxembourg,2
Mexico,2
Slovakia,2
United Arab Emirates,2
Angola,1
Belarus,1
Burkina Faso,1
Chile,1
Ecuador,1
Ethiopia,1
Kazakhstan,1
Malaysia,1
Nigeria,1
Oman,1
Pakistan,1
Papua New Guinea,1
Romania,1
Tanzania,1
Vietnam,1